ACTIVITY,TIME,SL,EEG,BP,HR,CIRCLUATION
3,4722.92,4019.64,-1.60E+03,13,79,317
2,4059.12,2191.03,-1146.08,20,54,165
2,4773.56,2787.99,-1263.38,46,67,224
4,8271.27,9545.98,-2848.93,26,138,554
4,7102.16,14148.8,-2381.15,85,120,809
5,7015.24,7336.79,-1699.8,22,95,427
3,8620.28,24949.9,-3198.06,35,157,1519
3,9238.73,39245.5,-2.59E+03,15,196,1885
0,12276.4,59742,-5101,56,249,2826
4,14165.5,140950,-1.41E+03,82,315,5844
0,7069.95,15336.6,-3000.09,81,133,847
5,10768.8,28521,-3732.37,61,214,1469
0,10255.7,66668,-6050,97,207,3048
0,6411.13,9698,-2686,59,104,652
4,8766.37,11524.1,-3270.78,44,156,654
3,9764.47,51960.7,-2.51E+03,16,188,2599
3,15208.6,90305.4,-2.28E+03,53,223,2059
0,6628.08,6490.83,-1923.04,23,100,485
0,7836.78,5545,-2661,41,126,371
0,10787.8,103850,-4705,85,237,4804
0,7347.39,13978,-3121,24,126,765
3,15563.6,110121,-6.38E+03,38,322,4619
2,5091.81,4269.08,-1.52E+03,10,79,317
3,3840,1433.37,-606.618,32,40,100
4,15435,144972,-5803.6,170,308,6057
2,13353.1,40216.5,-1.76E+03,43,234,1581
0,18609.3,300553,-12391,73,464,10829
3,12024.8,115245,-2.02E+03,47,235,4905
0,23099.1,280276,-13215,264,465,8741
2,8334.2,9499.81,-2868.48,97,130,490
4,11983.7,46065.4,-5543.47,49,273,2061
4,18072.9,161030,-8.83E+03,91,388,6290
0,13071.6,151812,-6450,66,284,6506
3,19248.1,162489,-1.06E+04,88,388,6290
0,19217.4,205811,-10695,61,390,6741
2,9714.1,33873.2,-2.73E+03,56,234,1581
4,4911.72,2837.21,-1207.83,47,67,224
3,12894.8,60525,-4.78E+03,25,247,2754
3,10721.5,38062.2,-4162.48,129,205,1751
4,10991.8,86042.1,-2.96E+03,18,220,3450
4,3736.8,1436.3,-634.175,33,40,100
0,5993.3,4806,-1941,18,111,345
0,20309.9,291719,-11688,242,487,10978
0,12888.4,171016,-6821,63,299,7334
3,7478.85,14147.7,-2295.22,90,120,809
0,17083.7,94618,-8497,92,365,3633
5,9883.77,40847.4,-2722.39,60,159,2181
3,5382.92,4179.02,-1499.3,122,88,318
4,9454.53,27663.8,-2981.07,101,158,1403
